0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,nameInDictionary,exhalationLevel,level
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,nameInDictionary,safeCombinations,safe
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,nameInDictionary,safeCombinations,combinations
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,nameInDictionary,givenCombination,given
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,nameInDictionary,givenCombination,combination
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,nameInDictionary,isSafe,is
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,nameInDictionary,isSafe,safe
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,nameInDictionary,comb,comb
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,nameInDictionary,interpolatedExhalationLevel,interpolated
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,nameInDictionary,interpolatedExhalationLevel,exhalation
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,nameInDictionary,interpolatedExhalationLevel,level
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,nameInDictionary,pairs,pairs
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,nameInDictionary,pairsStr,pairs
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,nameInDictionary,pair,pair
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,duplicateShortTypeName,[SocialDistancingUtil, util.SocialDistancingUtil]
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,nameNotInDictionary,i,i
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,minimumLettersInNameCheck,i,i,2
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,nameNotInDictionary,c,c
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,minimumLettersInNameCheck,c,c,2
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,minimumVowelInNameCheck,c,c,1
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,nameNotInDictionary,pairsStr,str
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,minimumVowelInNameCheck,pairsStr,str,1
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,methodBlockLimit,SocialDistancingUtil,METHOD_DEF[62x1],2,1
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,liberalMagicNumber,10,10
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,functionAssignsGlobal,isInterpolatedSafe
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,functionAssignsGlobal,isGivenSafe
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,functionAssignsGlobal,isDerivedSafe
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,functionAssignsGlobal,getSafeCombsByInterpolatedExhalationLevel
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,functionAssignsGlobal,generateSafeDistancesAndDurations
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,methodAccessModifierMatched,isInterpolatedSafe:int;int;int->boolean,public,[model.InterpolatingModel, util.SocialDistancingUtil],[public, private]
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,methodAccessModifierMatched,isGivenSafe:int;int;int->boolean,public,[model.BasicModel, model.InterpolatingModel, util.SocialDistancingUtil],[public, public, private]
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,methodAccessModifierMatched,isDerivedSafe:int;int;int->boolean,public,[util.SocialDistancingUtil, model.DerivedModel],[private, public]
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,methodAccessModifierMatched,printCombination:data.Combination;boolean->void,private,[util.SocialDistancingUtil],[private]
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,methodAccessModifierMatched,getSafeCombsByInterpolatedExhalationLevel:int->List,private,[util.SocialDistancingUtil],[private]
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,methodAccessModifierUnmatched,isInterpolatedSafe:int;int->boolean,public,None,4,No Referencing Method,No Access Modifiers
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,methodAccessModifierUnmatched,isInterpolatedSafe:int->boolean,public,None,4,No Referencing Method,No Access Modifiers
0,Mon Sep 14 23:09:06 EDT 2020,true,util/SocialDistancingUtil.java,methodAccessModifierUnmatched,printGeneratedCombinationDerivedSafety:->void,public,private,3,[util.SocialDistancingUtil],[private]
